CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
28.516.650/0001-03,2019-12-31,1,Imóveis para venda em construção,Condomínio Borges 3647,"O ritmo das obras nesta etapa pode ser considerado lento, quando cotejados os percentuais observados e previstos no cronograma, entretanto, as instalações e os revestimentos internos e externos foram executados.",
28.516.650/0001-03,2019-12-31,1,Imóveis para renda em construção,,,
28.693.595/0001-27,2019-03-31,1,Imóveis para venda em construção,,,
28.693.595/0001-27,2019-03-31,1,Imóveis para renda em construção,,,
28.693.595/0001-27,2019-06-30,1,Imóveis para venda em construção,,,
28.693.595/0001-27,2019-06-30,1,Imóveis para renda em construção,,,
28.693.595/0001-27,2019-09-30,1,Imóveis para renda em construção,,,
28.693.595/0001-27,2019-09-30,1,Imóveis para venda em construção,,,
28.693.595/0001-27,2019-12-31,1,Imóveis para renda em construção,,,
28.693.595/0001-27,2019-12-31,1,Imóveis para venda em construção,,,
28.851.767/0001-43,2019-12-31,2,Imóveis para renda em construção,Hospital Unimed Sul Capixaba,,
29.299.737/0001-39,2019-06-30,1,Imóveis para venda em construção,,,
30.017.492/0001-99,2019-06-28,1,Imóveis para renda em construção,UNIMED - Unimed Itu/Salto Cooperativa Médica,.,.
30.017.492/0001-99,2019-09-30,1,Imóveis para renda em construção,UNIMED - Unimed Itu/Salto Cooperativa Médica,.,.
30.017.492/0001-99,2019-12-31,1,Imóveis para renda em construção,"Rua Ester Martins Bertozzo, com a Rodovia da Convenção (SP-40/70), no Bairro Canjica",.,.
30.791.386/0001-68,2019-06-30,1,Imóveis para renda em construção,,,
30.791.386/0001-68,2019-06-30,1,Imóveis para venda em construção,,,
30.791.386/0001-68,2019-09-30,1,Imóveis para venda em construção,,,
30.791.386/0001-68,2019-09-30,1,Imóveis para renda em construção,,,
30.791.386/0001-68,2019-12-31,2,Imóveis para venda em construção,,,
30.791.386/0001-68,2019-12-31,2,Imóveis para renda em construção,,,
30.871.716/0001-25,2019-12-31,1,Imóveis para renda em construção,Não aplicavel,Não aplicavel,Não aplicavel
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 209,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 104,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 201,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 109,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 203,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 204,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 202,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 210,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
31.469.385/0001-64,2019-03-31,1,Imóveis para renda em construção,Unidade 102,As obras ainda não foram iniciadas. O imóvel permanece em processo de demolição.,
